V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,18,8,8,14,20,15,15,13,4,16,14,0,13,10,19,4,8,3,3,2,15
2,9,2,0,11,12,28,19,3,23,16,19,27,0,11,17,13,2,32,22,9,28
3,9,14,0,6,15,8,5,2,8,16,13,6,13,6,17,6,7,5,17,10,2
4,6,6,9,24,12,22,20,22,2,1,2,19,4,9,14,2,25,23,10,7,8
5,15,17,11,21,4,2,0,12,6,6,12,6,11,23,15,16,12,5,17,22,4
6,7,17,9,9,2,7,1,18,23,1,10,2,6,14,15,27,25,23,18,20,10
7,0,16,17,6,6,19,22,8,7,22,5,6,10,4,24,9,11,20,14,16,6
8,0,16,13,18,16,18,14,16,20,16,10,6,9,12,2,0,18,5,7,19,13
9,31,32,13,5,8,6,11,15,2,13,21,23,0,10,23,6,5,25,32,14,6
10,15,23,5,20,23,10,9,15,20,9,16,22,12,17,8,10,6,20,24,8,5
11,18,21,20,18,7,13,16,9,20,12,4,1,21,11,5,12,7,5,6,4,0
12,10,15,24,25,6,25,4,9,4,9,25,7,22,5,21,1,23,8,7,14,14
13,13,18,18,15,10,4,8,8,14,9,7,17,1,5,0,1,8,4,19,11,20
14,5,15,11,9,25,25,18,18,10,23,19,10,5,17,3,2,4,20,11,24,14
