,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,41,50,14,71,0,45,17,62,8,48,0,11,51,57,48,43,53,71,57,77,70
2,0,21,25,45,27,0,61,40,18,11,42,74,58,63,59,53,15,2,9,26,54
3,74,48,63,73,53,15,13,35,11,11,71,62,52,78,55,77,46,66,14,40,13
4,21,38,5,35,15,15,27,23,26,13,20,31,21,22,11,7,19,37,31,16,39
5,34,7,52,37,24,37,16,64,71,8,18,30,71,26,33,23,8,55,48,29,66
6,30,23,48,51,51,47,53,52,18,36,11,37,38,49,32,10,19,40,3,8,19
7,33,23,49,85,78,69,91,36,56,33,0,24,8,18,86,92,25,40,43,54,24
8,51,24,9,61,35,18,39,8,40,57,4,5,60,64,37,27,48,25,53,41,60
9,24,3,79,28,2,42,37,16,4,39,71,81,33,54,42,62,9,44,20,33,73
10,49,56,44,52,9,42,11,44,11,51,19,18,62,50,26,31,27,26,50,28,32
11,9,4,46,21,59,52,25,60,11,1,17,36,29,31,48,52,45,22,34,22,57
12,6,72,76,0,24,29,9,53,77,58,6,76,15,1,42,65,19,47,19,35,3
13,53,38,51,9,14,21,26,11,15,53,23,17,27,12,44,36,37,22,49,27,12
14,49,50,38,22,58,74,17,30,31,68,43,19,44,31,41,19,50,33,3,53,77
