,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,4,16,8,1,2,2,4,2,10,10,2,10,2,12,4,1,5,8,1,0
2,7,0,8,3,3,2,5,1,1,1,4,8,9,9,10,10,0,5,13,4
3,2,5,0,2,4,7,3,9,4,0,4,3,7,3,6,2,8,1,0,1
4,2,5,1,3,4,0,0,0,3,0,9,5,2,13,0,1,8,6,6,1
5,5,6,6,1,4,0,0,11,6,0,7,1,0,4,0,3,0,5,11,2
6,2,2,2,3,3,0,3,1,1,2,3,2,2,0,11,0,1,3,2,7
7,3,1,1,1,1,4,4,4,5,1,2,0,2,1,6,2,1,3,2,5
8,5,6,5,1,2,1,0,8,5,0,1,9,3,1,3,8,1,2,0,7
9,5,6,5,2,6,4,2,0,5,0,5,6,1,0,1,3,0,2,1,6
10,7,4,1,4,4,6,2,2,0,4,2,1,3,6,5,0,3,1,9,8
11,0,8,0,6,3,6,0,1,3,7,8,0,14,4,4,2,16,6,9,2
12,6,0,11,4,3,6,4,4,5,0,4,6,15,9,0,2,3,5,8,4
13,2,7,4,5,3,2,6,1,5,0,1,2,3,8,4,2,5,6,4,3
14,0,1,1,0,0,3,7,1,5,6,9,6,19,8,0,7,5,1,5,7
15,13,0,0,12,7,1,9,7,8,6,1,2,2,0,0,3,1,2,3,0
16,5,11,2,1,1,7,4,4,3,7,8,2,9,5,4,10,1,5,9,5
17,10,2,9,3,1,8,3,1,8,0,5,2,8,1,3,11,0,1,4,7
18,1,2,3,10,4,1,4,5,9,3,0,4,8,4,12,8,0,0,6,1
19,5,3,1,1,2,4,1,6,5,1,4,6,5,8,0,2,1,2,8,2
20,3,10,4,2,8,5,12,0,8,2,10,3,3,3,0,0,6,4,0,7
