,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,36,28,44,16,43,38,35,29,22,36,40,40,23,42,26,25,1,29,0,6,34
2,53,3,39,76,8,79,13,10,51,6,68,59,26,81,67,17,76,70,19,37,61
3,92,13,26,13,47,32,9,2,24,50,27,93,15,50,93,114,12,59,15,98,88
4,34,58,51,49,9,25,45,33,5,54,14,8,39,6,48,25,22,6,60,55,20
5,2,12,36,18,30,10,28,42,20,26,7,13,35,23,34,42,10,40,22,42,31
6,64,27,43,6,59,25,44,13,49,1,41,9,36,63,4,12,7,41,33,25,30
7,12,18,2,24,43,50,34,10,50,51,39,47,44,2,39,27,0,19,11,32,13
8,37,16,1,70,83,75,22,56,69,38,40,55,61,91,2,58,41,47,27,4,66
9,74,36,9,77,96,13,69,47,64,42,89,16,25,15,0,37,12,19,69,48,43
10,58,3,1,16,53,27,9,5,29,27,3,39,36,45,8,39,6,14,3,52,59
11,19,32,40,61,37,60,9,5,8,15,21,27,10,64,70,3,83,31,2,31,42
12,56,22,32,61,2,32,23,52,34,7,20,19,28,24,28,29,17,13,42,17,32
13,20,15,5,27,21,23,30,25,60,14,30,5,24,55,16,41,42,45,59,30,1
14,18,15,20,26,22,49,30,39,4,39,54,52,12,37,9,18,37,29,17,39,14
15,41,26,55,24,36,38,28,43,14,10,24,16,59,4,0,44,60,34,7,29,19
16,21,14,13,13,13,26,12,37,36,42,21,8,42,29,14,38,26,7,41,0,22
17,53,46,58,15,9,47,0,48,17,17,11,47,25,34,34,49,57,52,8,53,27
18,52,26,6,16,55,36,22,60,38,67,18,45,64,20,57,58,59,63,31,27,62
19,41,40,7,49,61,41,11,27,23,40,19,19,42,43,60,24,33,58,64,35,22
20,50,18,15,19,8,11,47,22,40,33,35,41,41,10,30,4,19,25,48,53,50
