V,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,160,180,25
2,122,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,125,122,122
3,190,225,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25
4,160,180,25,0,0,0,0,0,25,25,25,25,25,25,25,25,25,25,25,25,25
5,122,160,160,225,0,0,10,0,0,122,125,25,25,25,25,25,25,25,25,25,25
6,122,190,190,190,160,0,0,0,0,0,125,25,25,25,25,25,25,25,25,25,25
7,122,122,122,160,180,25,0,0,0,0,0,25,0,0,25,25,25,0,0,0,0
8,122,122,122,122,160,180,190,0,0,0,0,0,25,25,25,25,25,25,0,0,0
9,10,125,125,125,125,160,180,25,0,0,0,0,0,25,25,0,0,0,25,25,25
10,25,25,25,25,25,130,170,170,130,0,0,0,0,0,25,25,25,25,25,25,0
11,25,25,25,25,25,130,160,160,210,210,0,0,0,0,0,25,25,25,25,25,25
12,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,25,25,25,25
13,25,25,0,0,0,0,0,0,25,25,25,25,0,0,0,0,0,25,25,25,25
14,25,0,0,0,0,25,25,25,25,25,25,25,190,0,0,0,0,0,25,25,25
15,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,122,122
16,25,25,25,25,25,25,25,25,25,25,25,25,25,25,122,0,0,0,0,0,122
17,25,25,25,25,25,25,25,25,25,25,25,25,25,25,190,225,0,0,0,0,0
18,0,125,125,125,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0
19,0,0,125,125,25,25,25,25,25,25,25,25,25,25,25,25,25,122,0,0,0
20,0,0,0,125,25,25,25,25,25,25,25,25,25,25,25,25,25,122,122,0,0
