,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
1,20,7,0,4,11,20,9,7,12,13,19,7,22,25,14,18,11,10,0,28,4,14,11,25,6,25,34,24,13,14
2,12,2,19,10,9,27,14,18,15,1,9,17,23,9,9,11,7,20,7,8,32,5,1,15,9,13,15,7,4,17
3,10,6,25,0,3,40,16,9,16,10,14,5,7,2,6,4,27,10,25,10,4,2,2,22,36,20,15,3,9,41
4,6,3,9,3,6,0,6,3,1,2,6,13,2,13,7,11,4,5,12,9,3,2,24,2,2,5,24,32,10,7
5,8,4,6,5,6,12,23,7,9,2,0,10,6,4,10,1,6,2,8,2,1,16,14,8,15,10,0,6,4,5
6,30,6,1,15,0,18,15,1,42,4,19,0,3,7,7,14,12,2,39,14,7,15,3,0,21,24,9,23,7,15
7,12,2,0,6,0,13,12,4,5,14,0,8,26,16,2,30,39,18,39,7,11,15,3,1,7,11,6,3,6,14
8,17,11,6,7,11,3,3,17,31,7,4,1,14,10,1,17,10,2,12,3,7,4,7,8,5,12,8,6,14,13
9,6,2,8,6,22,2,9,15,7,9,4,23,21,2,4,9,14,15,24,32,10,3,10,2,18,10,15,18,1,13
10,3,11,18,11,2,15,10,13,5,1,15,9,11,6,2,12,11,19,0,7,1,0,21,5,0,1,0,2,1,5
11,7,7,19,3,9,3,15,9,15,8,18,2,9,15,16,25,2,32,3,6,6,11,1,16,4,11,16,2,13,10
12,2,7,10,4,5,15,9,6,3,4,12,6,6,9,20,4,3,19,2,5,7,5,9,8,1,2,6,4,3,1
13,7,7,1,7,5,4,6,13,7,1,15,3,9,4,7,3,15,10,2,25,6,20,6,13,6,16,4,2,6,22
14,1,17,4,13,8,34,19,8,1,1,0,17,15,10,3,2,17,7,11,22,17,15,0,20,12,14,19,18,11,17
15,7,16,21,22,3,17,28,11,2,16,1,15,31,17,10,0,1,1,29,14,20,13,13,5,2,13,21,7,3,16
16,13,30,20,30,29,11,7,16,29,8,7,11,13,21,6,5,4,8,9,5,16,0,10,3,16,18,1,0,17,12
17,6,5,13,21,24,11,1,14,5,1,9,0,15,0,3,9,14,3,23,5,13,1,7,6,5,15,22,1,20,4
18,6,9,6,5,23,13,5,15,7,6,4,4,4,8,6,0,6,5,2,11,15,12,7,2,2,5,6,13,4,5
19,8,1,13,22,18,16,8,21,24,3,20,2,11,0,0,9,3,12,4,24,3,11,8,14,14,1,18,6,18,12
20,3,26,18,15,15,10,8,24,3,13,2,3,4,6,9,14,6,2,15,9,14,29,6,4,0,21,13,6,13,21
21,6,5,3,34,5,6,11,34,4,4,0,6,4,3,5,8,7,28,11,2,2,10,8,23,22,13,17,41,9,3
22,4,1,10,5,2,9,4,18,6,0,2,25,9,14,3,8,7,6,8,0,0,1,26,17,9,12,11,4,7,7
23,1,17,8,45,20,7,9,4,0,3,9,17,27,7,22,5,5,1,20,3,21,7,1,8,14,7,27,8,3,14
24,1,20,7,6,12,6,14,3,25,12,7,11,5,8,15,18,1,24,11,6,11,5,17,7,10,30,11,21,35,4
25,20,14,18,5,1,15,19,12,2,4,19,9,6,10,4,2,6,10,7,4,9,10,2,5,5,12,1,0,1,17
26,13,9,13,14,5,19,6,24,14,7,5,3,1,18,21,16,3,4,1,6,4,16,1,10,12,11,13,14,10,5
27,11,12,19,1,7,7,1,2,22,6,7,22,15,16,0,3,16,7,13,22,13,5,16,7,7,10,2,16,22,14
28,13,24,1,0,11,6,23,46,6,9,13,2,2,6,24,6,33,6,5,25,0,29,5,4,11,15,0,21,27,8
29,8,3,25,4,2,3,5,3,4,21,7,11,4,0,27,4,2,0,7,26,11,7,3,7,6,18,4,10,20,4
30,15,12,11,9,20,10,30,23,3,30,19,1,6,3,6,3,1,23,18,6,37,1,13,25,10,38,2,11,13,15
